Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Hepatitis B virus HK1272,10407.10255,DQ089770,fig|10407.102552.CDS.2,,,PATRIC.10407.102552.DQ089770.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05189.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1629,10407.10256,DQ089771,fig|10407.102562.CDS.2,,,PATRIC.10407.102562.DQ089771.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05193.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK910,10407.10257,DQ089772,fig|10407.102566.CDS.2,,,PATRIC.10407.102566.DQ089772.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05197.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1193,10407.10257,DQ089773,fig|10407.102573.CDS.2,,,PATRIC.10407.102573.DQ089773.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05201.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK858,10407.10258,DQ089774,fig|10407.102582.CDS.2,,,PATRIC.10407.102582.DQ089774.CDS.2849.835.fwd,PATRIC,CDS,2849,835,1203,+,,,,AAZ05205.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK290,10407.10258,DQ089775,fig|10407.102584.CDS.2,,,PATRIC.10407.102584.DQ089775.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05209.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK884,10407.10259,DQ089776,fig|10407.102592.CDS.2,,,PATRIC.10407.102592.DQ089776.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05213.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1159,10407.1026,DQ089777,fig|10407.102598.CDS.2,,,PATRIC.10407.102598.DQ089777.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05217.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1442,10407.1026,DQ089778,fig|10407.102604.CDS.2,,,PATRIC.10407.102604.DQ089778.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05221.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK554,10407.10261,DQ089779,fig|10407.102612.CDS.2,,,PATRIC.10407.102612.DQ089779.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05225.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK947,10407.10262,DQ089780,fig|10407.102617.CDS.2,,,PATRIC.10407.102617.DQ089780.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05229.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1476,10407.10262,DQ089781,fig|10407.102623.CDS.2,,,PATRIC.10407.102623.DQ089781.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05233.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK2032,10407.10263,DQ089782,fig|10407.102629.CDS.2,,,PATRIC.10407.102629.DQ089782.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05237.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1402,10407.10264,DQ089783,fig|10407.102638.CDS.2,,,PATRIC.10407.102638.DQ089783.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05241.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1285,10407.10264,DQ089784,fig|10407.102639.CDS.2,,,PATRIC.10407.102639.DQ089784.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05245.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1386,10407.10265,DQ089785,fig|10407.102647.CDS.2,,,PATRIC.10407.102647.DQ089785.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05249.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK2074,10407.10265,DQ089786,fig|10407.102654.CDS.2,,,PATRIC.10407.102654.DQ089786.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05253.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK352,10407.10266,DQ089787,fig|10407.102659.CDS.2,,,PATRIC.10407.102659.DQ089787.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05257.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK820,10407.10266,DQ089788,fig|10407.102664.CDS.2,,,PATRIC.10407.102664.DQ089788.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05261.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK926,10407.10267,DQ089789,fig|10407.102671.CDS.2,,,PATRIC.10407.102671.DQ089789.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05265.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1248,10407.10268,DQ089790,fig|10407.102679.CDS.2,,,PATRIC.10407.102679.DQ089790.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05269.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1205,10407.10269,DQ089791,fig|10407.102686.CDS.2,,,PATRIC.10407.102686.DQ089791.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05273.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK870,10407.10269,DQ089792,fig|10407.102690.CDS.2,,,PATRIC.10407.102690.DQ089792.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05277.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK343,10407.1027,DQ089793,fig|10407.102698.CDS.2,,,PATRIC.10407.102698.DQ089793.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05281.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK751,10407.10272,DQ089796,fig|10407.102716.CDS.2,,,PATRIC.10407.102716.DQ089796.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05291.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1169,10407.10272,DQ089797,fig|10407.102721.CDS.2,,,PATRIC.10407.102721.DQ089797.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05295.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK477,10407.10273,DQ089798,fig|10407.102728.CDS.2,,,PATRIC.10407.102728.DQ089798.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05299.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK734,10407.10274,DQ089799,fig|10407.102735.CDS.2,,,PATRIC.10407.102735.DQ089799.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05303.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK2100,10407.10275,DQ089801,fig|10407.102746.CDS.2,,,PATRIC.10407.102746.DQ089801.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05311.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1371,10407.10275,DQ089802,fig|10407.102753.CDS.2,,,PATRIC.10407.102753.DQ089802.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05315.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK931,10407.10276,DQ089803,fig|10407.102757.CDS.2,,,PATRIC.10407.102757.DQ089803.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05319.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK262,10407.10277,DQ089804,fig|10407.102765.CDS.2,,,PATRIC.10407.102765.DQ089804.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05323.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus GZ-DYH,10407.10806,DQ246215,fig|10407.108059.CDS.2,,,PATRIC.10407.108059.DQ246215.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABB51622.1,400,,preS1/S2/S antigen,
Hepatitis B virus WJT31,10407.11125,DQ377158,fig|10407.111248.CDS.2,,,PATRIC.10407.111248.DQ377158.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABD14670.1,400,s,PreS1/PreS2/surface protein,
Hepatitis B virus WJT5,10407.11128,DQ377164,fig|10407.111284.CDS.2,,,PATRIC.10407.111284.DQ377164.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABD14692.1,400,s,PreS1/PreS2/surface protein,
Hepatitis B virus WJT35,10407.11129,DQ377165,fig|10407.111293.CDS.2,,,PATRIC.10407.111293.DQ377165.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABD14696.1,400,s,PreS1/PreS2/surface protein,
Hepatitis B virus GZ-DYH,10407.11475,DQ448619,fig|10407.114746.CDS.2,,,PATRIC.10407.114746.DQ448619.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABE03774.1,400,preS1/S2/S,preS1/S2/S antigen,
Hepatitis B virus GZ-DYF,10407.11475,DQ448620,fig|10407.114753.CDS.2,,,PATRIC.10407.114753.DQ448620.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABE03778.1,400,preS1/S2/S,preS1/S2/S antigen,
Hepatitis B virus GZ-HQY,10407.11476,DQ448621,fig|10407.114761.CDS.2,,,PATRIC.10407.114761.DQ448621.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABE03782.1,400,preS1/S2/S,preS1/S2/S antigen,
Hepatitis B virus GZ-JSM,10407.11477,DQ448622,fig|10407.114768.CDS.2,,,PATRIC.10407.114768.DQ448622.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABE03786.1,400,preS1/S2/S,preS1/S2/S antigen,
Hepatitis B virus GZ-LMX,10407.11477,DQ448623,fig|10407.114771.CDS.2,,,PATRIC.10407.114771.DQ448623.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABE03790.1,400,preS1/S2/S,preS1/S2/S antigen,
Hepatitis B virus GZ-QSA,10407.11478,DQ448624,fig|10407.114781.CDS.2,,,PATRIC.10407.114781.DQ448624.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABE03794.1,400,preS1/S2/S,preS1/S2/S antigen,
Hepatitis B virus GZ-TXB,10407.11479,DQ448625,fig|10407.114786.CDS.2,,,PATRIC.10407.114786.DQ448625.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABE03798.1,400,preS1/S2/S,preS1/S2/S antigen,
Hepatitis B virus GZ-XLB,10407.11479,DQ448626,fig|10407.114789.CDS.2,,,PATRIC.10407.114789.DQ448626.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABE03802.1,400,preS1/S2/S,preS1/S2/S antigen,
Hepatitis B virus GZ-ZFL,10407.1148,DQ448627,fig|10407.114796.CDS.2,,,PATRIC.10407.114796.DQ448627.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABE03806.1,400,preS1/S2/S,preS1/S2/S antigen,
Hepatitis B virus GZ-ZX,10407.1148,DQ448628,fig|10407.114804.CDS.2,,,PATRIC.10407.114804.DQ448628.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,ABE03810.1,400,preS1/S2/S,preS1/S2/S antigen,
Hepatitis B virus QH8,10407.11856,MT645070,fig|10407.118562.peg.2,,,PATRIC.10407.118562.MT645070.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus QH6,10407.11856,MT645068,fig|10407.118564.peg.2,,,PATRIC.10407.118564.MT645068.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus QH15,10407.11857,MT645065,fig|10407.118567.peg.2,,,PATRIC.10407.118567.MT645065.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus QH1,10407.11857,MT645059,fig|10407.118573.peg.2,,,PATRIC.10407.118573.MT645059.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus HN27,10407.11858,MT645053,fig|10407.118579.peg.2,,,PATRIC.10407.118579.MT645053.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus HB9,10407.11859,MT645039,fig|10407.118593.peg.2,,,PATRIC.10407.118593.MT645039.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus HB4,10407.1186,MT645036,fig|10407.118596.peg.2,,,PATRIC.10407.118596.MT645036.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus HB15,10407.1186,MT645028,fig|10407.118604.peg.2,,,PATRIC.10407.118604.MT645028.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus HB10,10407.11861,MT645023,fig|10407.118609.peg.2,,,PATRIC.10407.118609.MT645023.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus HB1,10407.11861,MT645022,fig|10407.118610.peg.2,,,PATRIC.10407.118610.MT645022.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus GX8,10407.11861,MT645020,fig|10407.118612.peg.2,,,PATRIC.10407.118612.MT645020.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus GX6,10407.11861,MT645018,fig|10407.118614.peg.2,,,PATRIC.10407.118614.MT645018.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus GX40,10407.11862,MT645016,fig|10407.118616.peg.2,,,PATRIC.10407.118616.MT645016.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus GX4,10407.11862,MT645015,fig|10407.118617.peg.1,,,PATRIC.10407.118617.MT645015.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus GX38,10407.11862,MT645013,fig|10407.118619.peg.2,,,PATRIC.10407.118619.MT645013.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus GX33,10407.11862,MT645011,fig|10407.118621.peg.2,,,PATRIC.10407.118621.MT645011.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus GX31,10407.11862,MT645010,fig|10407.118622.peg.2,,,PATRIC.10407.118622.MT645010.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus GX28,10407.11862,MT645007,fig|10407.118624.peg.2,,,PATRIC.10407.118624.MT645007.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus GX29,10407.11863,MT645008,fig|10407.118625.peg.2,,,PATRIC.10407.118625.MT645008.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus GX12,10407.11864,MT644997,fig|10407.118635.peg.2,,,PATRIC.10407.118635.MT644997.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus GX10,10407.11864,MT644995,fig|10407.118637.peg.2,,,PATRIC.10407.118637.MT644995.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,pre-S1/pre-S2/S,
Hepatitis B virus OM-AHB_hair,10407.11877,LC592168,fig|10407.118770.peg.2,,,PATRIC.10407.118770.LC592168.CDS.1.3221.fwd,PATRIC,CDS,1,3221,1203,+,,,,,400,preS1/preS2/S,PreS1/preS2/S,
Hepatitis B virus OM-AHB_nail,10407.11877,LC592169,fig|10407.118771.peg.2,,,PATRIC.10407.118771.LC592169.CDS.1.3221.fwd,PATRIC,CDS,1,3221,1203,+,,,,,400,preS1/preS2/S,PreS1/preS2/S,
Hepatitis B virus OM-AHB_serum,10407.11877,LC592170,fig|10407.118772.peg.2,,,PATRIC.10407.118772.LC592170.CDS.1.3221.fwd,PATRIC,CDS,1,3221,1203,+,,,,,400,preS1/preS2/S,PreS1/preS2/S,
Hepatitis B virus TU-AHB_nail,10407.11877,LC592171,fig|10407.118773.peg.2,,,PATRIC.10407.118773.LC592171.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,preS1/preS2/S,PreS1/preS2/S,
Hepatitis B virus TU-AHB_serum,10407.11877,LC592172,fig|10407.118774.peg.2,,,PATRIC.10407.118774.LC592172.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,preS1/preS2/S,PreS1/preS2/S,
Hepatitis B virus LRC191,10407.12329,MW675885,fig|10407.123294.peg.2,,,PATRIC.10407.123294.MW675885.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus LRC185,10407.1233,MW675886,fig|10407.123295.peg.2,,,PATRIC.10407.123295.MW675886.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus LRC167,10407.1233,MW675888,fig|10407.123296.peg.2,,,PATRIC.10407.123296.MW675888.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus LRC183,10407.1233,MW675887,fig|10407.123297.peg.2,,,PATRIC.10407.123297.MW675887.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus LRC155,10407.1233,MW675889,fig|10407.123298.peg.2,,,PATRIC.10407.123298.MW675889.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus LRC127,10407.1233,MW675890,fig|10407.123299.peg.2,,,PATRIC.10407.123299.MW675890.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus LRC107,10407.1233,MW675891,fig|10407.123300.peg.2,,,PATRIC.10407.123300.MW675891.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus LRC104,10407.1233,MW675893,fig|10407.123301.peg.2,,,PATRIC.10407.123301.MW675893.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus LRC105,10407.1233,MW675892,fig|10407.123302.peg.2,,,PATRIC.10407.123302.MW675892.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus LRC103,10407.1233,MW675894,fig|10407.123303.peg.2,,,PATRIC.10407.123303.MW675894.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus LRC33,10407.1233,MW675895,fig|10407.123304.peg.2,,,PATRIC.10407.123304.MW675895.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus LRC100,10407.12331,MW675896,fig|10407.123306.peg.2,,,PATRIC.10407.123306.MW675896.CDS.1.3215.fwd,PATRIC,CDS,1,3215,1203,+,,,,,400,,PreS1/PreS2/S,
Hepatitis B virus ylap-gtA,10407.12334,ON093162,fig|10407.123335.peg.2,,,PATRIC.10407.123335.ON093162.CDS.1.3221.fwd,PATRIC,CDS,1,3221,1203,+,,,,,400,,HBV preS1,
Hepatitis B virus strain 417-106/gA,10407.12402,MW999475,fig|10407.124021.peg.2,,,PATRIC.10407.124021.MW999475.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-115/gA,10407.12402,MW999477,fig|10407.124022.peg.3,,,PATRIC.10407.124022.MW999477.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-111/gA,10407.12402,MW999476,fig|10407.124023.peg.3,,,PATRIC.10407.124023.MW999476.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-117/gA,10407.12402,MW999478,fig|10407.124024.peg.3,,,PATRIC.10407.124024.MW999478.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-122/gA,10407.12403,MW999480,fig|10407.124025.peg.3,,,PATRIC.10407.124025.MW999480.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-121/gA,10407.12403,MW999479,fig|10407.124026.peg.3,,,PATRIC.10407.124026.MW999479.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-128/gA,10407.12403,MW999481,fig|10407.124027.peg.3,,,PATRIC.10407.124027.MW999481.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-133/gA,10407.12403,MW999482,fig|10407.124028.peg.3,,,PATRIC.10407.124028.MW999482.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-138/gA,10407.12403,MW999484,fig|10407.124029.peg.3,,,PATRIC.10407.124029.MW999484.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-137/gA,10407.12403,MW999483,fig|10407.124030.peg.3,,,PATRIC.10407.124030.MW999483.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-1/gA,10407.12403,MW999485,fig|10407.124031.peg.3,,,PATRIC.10407.124031.MW999485.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-2/gA,10407.12403,MW999486,fig|10407.124032.peg.3,,,PATRIC.10407.124032.MW999486.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
