Accession,Organism_Name,Submitters,Release_Date,Isolate,Species,Length,Protein,Geo_Location,USA,Host,Isolation_Source,Collection_Date
AXP99746.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C34C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99747.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C35C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99748.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C36C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99749.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C38C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99750.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C42C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99751.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C44C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99752.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C62C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99753.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C71C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99754.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C72C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99755.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C75C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99756.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C76C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99757.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C81C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99758.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C83C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
QWY26506.1,Hepatitis B virus,"Chen,X.X., Wu,W.C., Shi,M., Chen,X., Wu,W.",30-06-2021,cxx17,Hepatitis B virus,240,core protein,China,,Chimaera sp.,"liver, abdominal cavity",
QWY26515.1,Hepatitis B virus,"Chen,X.X., Wu,W.C., Shi,M., Chen,X., Wu,W.",30-06-2021,cxx14,Hepatitis B virus,239,core protein,China,,Chimaera sp.,,
ACF39662.1,Hepatitis B virus,"Cao,G., Yin,J., He,Y., Zhang,H.",21-07-2008,S1,Hepatitis B virus,231,core protein,China,,Homo sapiens,blood,2007-09
AAA69722.1,Hepatitis B virus,"Kim,K.T., Hyun,S.W., Kim,Y.S., Rho,H.M.",02-08-1993,,Hepatitis B virus,230,core protein,,,,,
AUG90842.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Guizhou-Md-295,Hepatitis B virus,217,core protein,China,,Myotis davidii,,2012
AUG90848.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Guizhou-Ms-182,Hepatitis B virus,217,core protein,China,,Miniopterus schreibersii,,2012
AUG90852.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Guizhou-Ms-196,Hepatitis B virus,217,core protein,China,,Miniopterus schreibersii,,2012
AUG90856.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Guizhou-Ms-269,Hepatitis B virus,217,core protein,China,,Miniopterus schreibersii,,2012
AUG90860.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Jiyuan-Rf-11,Hepatitis B virus,217,core protein,China,,Rhinolophus ferrumequinum,,2012
AUG90864.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Jiyuan-Rf-16,Hepatitis B virus,217,core protein,China,,Rhinolophus ferrumequinum,,2012
AUG90868.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Jiyuan-Rf-25,Hepatitis B virus,217,core protein,China,,Rhinolophus ferrumequinum,,2012
AUG90873.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Jiyuan-Rf-306,Hepatitis B virus,217,core protein,China,,Rhinolophus ferrumequinum,,2012
AUG90876.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Jiyuan-Rf-77,Hepatitis B virus,217,core protein,China,,Rhinolophus ferrumequinum,,2012
AUG90880.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Jiyuan-Rf-41,Hepatitis B virus,217,core protein,China,,Rhinolophus ferrumequinum,,2012
AUG90884.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Jiyuan-Rf-325,Hepatitis B virus,217,core protein,China,,Rhinolophus ferrumequinum,,2012
AUG90888.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Jiyuan-Rp-91,Hepatitis B virus,217,core protein,China,,Rhinolophus pusillus,,2012
AUG90892.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Jiyuan-Rp-95,Hepatitis B virus,217,core protein,China,,Rhinolophus pusillus,,2012
AUG90896.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Longquan-Rl-99,Hepatitis B virus,217,core protein,China,,Rhinolophus luctus,,2012
AUG90900.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Longquan-Rm-102,Hepatitis B virus,217,core protein,China,,Rhinolophus monoceros,,2012
AUG90904.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Longquan-Rm-136,Hepatitis B virus,217,core protein,China,,Rhinolophus monoceros,,2012
AUG90908.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Longquan-Rp-121,Hepatitis B virus,217,core protein,China,,Rhinolophus pearsonii,,2012
AUG90912.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Longquan-Rp-46,Hepatitis B virus,217,core protein,China,,Rhinolophus pusillus,,2012
AUG90916.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Lushi-Rp-157,Hepatitis B virus,217,core protein,China,,Rhinolophus pusillus,,2012
AUG90920.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Lushi-Rp-187,Hepatitis B virus,217,core protein,China,,Rhinolophus pusillus,,2012
AUG90924.1,Bat Hepatitis B virus,"Nie,F.Y., Lin,X.D., Hao,Z.Y., Chen,X.N., Wang,Z.X., Wang,M.R., Wu,J., Wang,H.W., Zhao,G., Ma,R.Z., Holmes,E.C., Zhang,Y.Z., Nie,F.",26-12-2017,Neixiang-Rp-107,Hepatitis B virus,217,core protein,China,,Rhinolophus pusillus,,2012
